e1,e2,e3,e4,e5
-0.09953846153846152,0.029076923076923094,-0.06553846153846155,-0.14723076923076925,-0.014769230769230781
-0.06828571428571428,-0.05621428571428571,-0.1558571428571429,-0.2052857142857143,0.02607142857142856
-0.024093750000000004,0.00390625000000001,-0.042468750000000006,-0.14581249999999998,-0.049874999999999996
-0.030153846153846163,0.01015384615384615,-0.015461538461538462,-0.17753846153846156,0.07346153846153845
0.038523809523809516,-0.03685714285714286,0.048142857142857126,-0.12404761904761907,-0.032952380952380955
-0.0266923076923077,0.031384615384615386,-0.04861538461538462,-0.15961538461538463,0.05207692307692306
0.06706944444444446,0.0841527777777778,0.020611111111111108,-0.07534722222222222,0.0015972222222222197
0.026974999999999992,0.046025,-0.0683,0.0129,-0.044399999999999995
0.0014999999999999944,0.04354166666666667,-0.059541666666666666,-0.16954166666666667,0.010041666666666662
-0.060000000000000005,-0.00038888888888888925,-0.14255555555555557,-0.1585,0.03444444444444443
-0.06170833333333334,0.03558333333333333,-0.07095833333333333,-0.10050000000000002,0.05562499999999999
-0.00033333333333333365,-0.11779999999999999,-0.10526666666666666,-0.18506666666666666,0.014066666666666661
0.0436,0.057300000000000004,0.018600000000000005,-0.08515,0.032
-0.03266666666666668,0.1677142857142857,-0.07671428571428571,-0.07652380952380954,-0.0320952380952381
-0.0036511627906976756,0.05690697674418605,-0.023720930232558144,0.015325581395348833,-0.08386046511627908
-0.0007333333333333377,-0.16166666666666665,-0.07906666666666667,-0.22986666666666666,-0.01913333333333334
-0.004039999999999997,0.02728,0.03968000000000001,0.13503999999999997,-0.15591999999999998
0.009375000000000001,-0.02628125,-0.03828125,-0.11196875,-0.005812500000000002
-0.07708333333333335,-0.06091666666666665,-0.14925,-0.1915,-0.011500000000000005
-0.07241666666666667,0.03891666666666667,-0.16958333333333334,-0.15983333333333333,0.016499999999999994
-0.0747777777777778,0.01655555555555556,-0.12677777777777777,-0.13533333333333333,-0.014888888888888896
0.018566666666666672,-0.06256666666666665,-0.015533333333333335,-0.18323333333333333,-0.0085
0.016347826086956518,0.08043478260869566,-0.048391304347826083,-0.07282608695652174,0.0021304347826086893
-0.014680000000000002,0.03883999999999999,0.031959999999999995,0.15152,-0.12124
0.020694444444444442,0.034694444444444444,-0.08308333333333334,-0.12452777777777777,0.0020833333333333316
-0.0198,-0.13940000000000002,0.019533333333333333,-0.16093333333333334,0.03766666666666666
0.011075000000000005,0.10985,-0.0669,0.03949999999999999,-0.065725
-0.004799999999999999,0.0007499999999999978,-0.009650000000000002,-0.15,-0.059750000000000004
-0.05022222222222224,0.022666666666666658,-0.1456666666666667,-0.17783333333333334,0.02472222222222222
0.0532,-0.1582,-0.022333333333333334,-0.1972666666666667,-0.018200000000000004
